0 213.507 198.775
1 213.518 197.773
2 213.513 198.261
3 213.518 196.882
4 213.512 198.094
5 213.508 198.235
6 213.515 198.291
7 213.508 197.642
8 213.511 198.283
9 213.511 198.228
10 213.507 198.497
11 213.507 198.186
12 213.515 197.255
13 213.505 198.699
14 213.511 197.769
15 213.508 198.175
16 213.508 198.931
17 213.508 198.301
18 213.507 197.963
19 213.503 199.7
20 213.505 198.566
21 213.511 199.169
22 213.51 198.454
23 213.504 199.342
24 213.503 198.776
25 213.52 197.066
26 213.514 198.179
27 213.507 199.259
28 213.522 196.688
29 213.522 197.126
30 213.526 196.837
31 213.519 197.918
32 213.529 196.479
33 213.527 196.087
34 213.528 196.733
35 213.523 197.049
36 213.527 196.79
37 213.53 195.147
38 213.528 195.823
39 213.526 196.457
40 213.527 195.722
41 213.529 195.03
42 213.524 196.767
43 213.528 195.966
44 213.525 196.231
45 213.532 195.682
46 213.526 197.182
47 213.521 196.861
48 213.519 196.619
49 213.52 196.919
50 213.516 197.532
51 213.516 197.194
52 213.528 195.034
53 213.533 195.216
54 213.53 195.273
55 213.527 195.25
56 213.528 195.298
57 213.531 195.264
58 213.534 194.26
59 213.523 196.136
60 213.53 195.248
